captured_at,event_id,commence_time,lead_minutes,fighter_a,fighter_b,odds_a,odds_b,market_prob_a,market_books,snapshot_kind,odds_source
2026-07-25T12:46:58Z,f945c9c0daa5c2b3fe2598f854ecc4c2,2026-07-25T13:10:00Z,23.03,Cody Gibson,Abdul Hussein,450.0,-600.0,0.17633249,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-07-25T12:46:58Z,1fee61192bb544721f439c8560afc7e6,2026-07-25T13:35:00Z,48.03,Nurullo Aliev,Mike Davis,-225.0,188.0,0.66481481,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-07-25T14:23:05Z,7dd77c75b6cef66bca46d1fc528032a3,2026-07-25T14:50:00Z,26.9,Santiago Ponzinibbio,Sam Patterson,410.0,-550.0,0.18965481,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-07-25T15:49:21Z,9026becb00a858a15cc96f0f5af0d837,2026-07-25T16:15:00Z,25.64,Abubakar Vagaev,Saygid Izagakhmaev,-235.0,198.0,0.67599497,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-07-25T17:18:37Z,76d27919e05a7dcb1ce4555ce99ba07c,2026-07-25T17:45:00Z,26.38,Stephen Erceg,Ramazonbek Temirov,-110.0,-110.0,0.5,6,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-07-26T01:01:39Z,0850e8b6ba4f75ef1dbbd075504fda42,2026-07-26T01:40:00Z,38.34,Bryce Meredith,Michael Cyr,-550.0,440.0,0.81540248,2,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-01T14:17:31Z,720db78542944b9bc7203152b82e7195,2026-08-01T14:30:00Z,12.48,Jovan Leka,Alexander Poppeck,-305.0,250.0,0.72570533,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-01T15:32:16Z,e3ea6b3522a10acecf37d0b26df2ad90,2026-08-01T16:15:00Z,42.72,Borislav Nikolić,Mark Vologdin,-205.0,170.0,0.64472918,7,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-01T16:40:19Z,4136b336221ea3d3da5af39b66e4bb21,2026-08-01T17:15:00Z,34.67,Miloš Janičić,Noah Gugnon,-118.0,-105.0,0.51982379,7,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-01T17:47:31Z,e7d165a69388195e0562e3633e4eeffa,2026-08-01T18:00:00Z,12.47,Dusko Todorovic,Robert Valentin,130.0,-150.0,0.41858771,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-01T18:44:59Z,79d08aee30e3aa2df53b4a6ec8848106,2026-08-01T19:30:00Z,45.02,Uros Medic,Daniel Rodriguez,-400.0,310.0,0.76818552,7,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-08T20:52:11Z,825e28002cc8ba14f67a913a93833346,2026-08-08T21:10:00Z,17.8,Giovanna Canuto,Carol Foro,182.0,-215.0,0.34255149,6,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-08T20:52:11Z,abaf00200471a2bdfc0aecc648f3d9eb,2026-08-08T21:35:00Z,42.8,Juliana Miller,Ravena Oliveira,-340.0,275.0,0.74318541,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-08T21:49:04Z,4747134e3e1143e612926bbb7307af05,2026-08-08T22:10:00Z,20.92,Miles Johns,Gianni Vazquez,-210.0,176.0,0.65152878,7,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-08T21:49:04Z,9a92d22531015bdd32db87afa9f9bee2,2026-08-08T22:25:00Z,35.92,Manoel Sousa,Richie Miranda,-340.0,270.0,0.7391033,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-08T22:49:54Z,ad126b3ecf486d325bb850307bffe242,2026-08-08T23:15:00Z,25.1,Diyar Nurgozhay,Bruno Lopes,-155.0,134.0,0.58756423,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-08T23:47:30Z,80edc29df676b726721b9e5685512452,2026-08-09T00:15:00Z,27.5,Ty Miller,Billy Goff,-450.0,350.0,0.78652765,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-15T21:02:05Z,254a3851cc1b6715f5139de1d38c744a,2026-08-15T21:45:00Z,42.91,Jeremiah Wells,Myktybek Orolbai,795.0,-1300.0,0.10740315,7,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-15T21:38:52Z,fe1b44a73c88b5e32f186f3225ebb173,2026-08-15T22:15:00Z,36.13,Neil Magny,Ramiz Brahimaj,125.0,-150.0,0.42553191,7,standardized_t30_window,the-odds-api-paired-book-devig-v1
