date,event,fighter_a,fighter_b,winner,pair,commence_time,entry_snapshot_ts,entry_lead_hours,entry_n_books,entry_odds_a,entry_odds_b,entry_prob_a,entry_source,close_snapshot_ts,close_lead_hours,close_n_books,close_odds_a,close_odds_b,close_prob_a,close_source
2022-01-15 00:00:00+00:00,UFC Fight Night: Kattar vs. Chikadze,Court McGee,Ramiz Brahimaj,A,court mcgee|ramiz brahimaj,2022-01-15 23:15:00+00:00,2022-01-14 23:15:00+00:00,24.0,10,-2.5,-115.0,0.48467098763369787,odds_api_book_consensus,2022-01-15 22:55:00+00:00,0.3333333333333333,15,105.0,-125.0,0.46753246753246747,odds_api_book_consensus
2022-01-15 00:00:00+00:00,UFC Fight Night: Kattar vs. Chikadze,Bill Algeo,Joanderson Brito,A,bill algeo|joanderson brito,2022-01-16 00:00:00+00:00,2022-01-14 23:15:00+00:00,24.75,14,112.0,-137.0,0.450911922181368,odds_api_book_consensus,2022-01-15 22:55:00+00:00,1.3333333333333333,14,125.0,-149.0,0.42685718998934274,odds_api_book_consensus
2022-01-15 00:00:00+00:00,UFC Fight Night: Kattar vs. Chikadze,Brandon Royval,Rogerio Bontorin,A,brandon royval|rogerio bontorin,2022-01-16 01:45:00+00:00,2022-01-14 23:15:00+00:00,26.5,12,-165.5,140.0,0.6023374317089257,odds_api_book_consensus,2022-01-15 22:55:00+00:00,2.8333333333333335,14,-168.0,140.0,0.6012451823302698,odds_api_book_consensus
2022-01-15 00:00:00+00:00,UFC Fight Night: Kattar vs. Chikadze,Jake Collier,Chase Sherman,A,chase sherman|jake collier,2022-01-16 02:15:00+00:00,2022-01-14 23:15:00+00:00,27.0,13,-137.0,110.0,0.5483133218982277,odds_api_book_consensus,2022-01-15 22:55:00+00:00,3.3333333333333335,14,-137.0,115.0,0.554113900441344,odds_api_book_consensus
2022-01-15 00:00:00+00:00,UFC Fight Night: Kattar vs. Chikadze,Calvin Kattar,Giga Chikadze,A,calvin kattar|giga chikadze,2022-01-16 03:00:00+00:00,2022-01-14 23:15:00+00:00,27.75,11,195.0,-238.0,0.32183908045977017,odds_api_book_consensus,2022-01-15 22:55:00+00:00,4.083333333333333,14,195.0,-235.5,0.32805785862788106,odds_api_book_consensus
2022-01-22 00:00:00+00:00,UFC 270: Ngannou vs. Gane,Cody Stamann,Said Nurmagomedov,B,cody stamann|said nurmagomedov,2022-01-23 03:00:00+00:00,2022-01-22 02:55:00+00:00,24.083333333333332,14,165.0,-198.0,0.3625767737328329,odds_api_book_consensus,2022-01-23 02:45:00+00:00,1.0,14,159.0,-194.5,0.3694366399389465,odds_api_book_consensus
2022-01-22 00:00:00+00:00,UFC 270: Ngannou vs. Gane,Michael Morales,Trevin Giles,A,michael morales|trevin giles,2022-01-23 03:00:00+00:00,2022-01-22 02:55:00+00:00,24.083333333333332,13,-120.0,-104.0,0.5168918918918919,odds_api_book_consensus,2022-01-23 02:45:00+00:00,0.5,14,-115.5,-104.0,0.5059620178316226,odds_api_book_consensus
2022-01-22 00:00:00+00:00,UFC 270: Ngannou vs. Gane,Michel Pereira,Andre Fialho,A,andre fialho|michel pereira,2022-01-23 04:15:00+00:00,2022-01-22 02:55:00+00:00,25.333333333333332,14,-278.0,222.5,0.7049289285492553,odds_api_book_consensus,2022-01-23 02:45:00+00:00,1.5,14,-278.0,220.0,0.7033116837493273,odds_api_book_consensus
2022-01-22 00:00:00+00:00,UFC 270: Ngannou vs. Gane,Brandon Moreno,Deiveson Figueiredo,B,brandon moreno|deiveson figueiredo,2022-01-23 05:00:00+00:00,2022-01-22 02:55:00+00:00,26.083333333333332,14,-179.0,150.0,0.6150010263097523,odds_api_book_consensus,2022-01-23 02:45:00+00:00,2.25,14,-183.5,156.5,0.6256320653966482,odds_api_book_consensus
2022-01-22 00:00:00+00:00,UFC 270: Ngannou vs. Gane,Francis Ngannou,Ciryl Gane,A,ciryl gane|francis ngannou,2022-01-23 06:00:00+00:00,2022-01-22 02:55:00+00:00,27.083333333333332,14,125.0,-150.5,0.4242424242424242,odds_api_book_consensus,2022-01-23 02:45:00+00:00,3.25,14,125.0,-149.0,0.4242424242424242,odds_api_book_consensus
