fight_id,date,event,fighter_a,fighter_b,winner,snapshot_ts,commence_time,lead_hours,n_books,actual_odds_a,actual_odds_b,actual_prob_a,fighter_a_source,fighter_b_source,date_error_days,source_orientation_matches_actual
00131c8e13feeb1ed41f,2021-01-23 00:00:00+00:00,UFC 257: Poirier vs. McGregor,Julianna Pena,Sara McMann,A,2021-01-06 14:00:00+00:00,2021-01-23 00:00:00+00:00,394.0,3,-102,-116,0.4846032025338729,Sara McMann,Julianna Pena,0.0,False
00131c8e13feeb1ed41f,2021-01-23 00:00:00+00:00,UFC 257: Poirier vs. McGregor,Julianna Pena,Sara McMann,A,2021-01-09 20:00:00+00:00,2021-01-23 00:00:00+00:00,316.0,3,-102,-123,0.47793746848209784,Sara McMann,Julianna Pena,0.0,False
00131c8e13feeb1ed41f,2021-01-23 00:00:00+00:00,UFC 257: Poirier vs. McGregor,Julianna Pena,Sara McMann,A,2021-01-13 14:00:00+00:00,2021-01-24 00:00:00+00:00,250.0,10,105,-125,0.4675324675324675,Sara McMann,Julianna Pena,1.0,False
00131c8e13feeb1ed41f,2021-01-23 00:00:00+00:00,UFC 257: Poirier vs. McGregor,Julianna Pena,Sara McMann,A,2021-01-16 20:00:00+00:00,2021-01-24 00:00:00+00:00,172.0,10,105,-130,0.4632426988922458,Sara McMann,Julianna Pena,1.0,False
008ebccd3776d116e9b7,2023-12-02 00:00:00+00:00,UFC Fight Night: Dariush vs. Tsarukyan,Clay Guida,Joaquim Silva,B,2023-11-15 14:00:00+00:00,2023-12-02 21:10:00+00:00,415.1666666666667,7,185,-225,0.33635187580853815,Clay Guida,Joaquim Silva,0.8819444444444444,True
008ebccd3776d116e9b7,2023-12-02 00:00:00+00:00,UFC Fight Night: Dariush vs. Tsarukyan,Clay Guida,Joaquim Silva,B,2023-11-18 20:00:00+00:00,2023-12-02 21:10:00+00:00,337.1666666666667,9,180,-210,0.3452115812917595,Clay Guida,Joaquim Silva,0.8819444444444444,True
008ebccd3776d116e9b7,2023-12-02 00:00:00+00:00,UFC Fight Night: Dariush vs. Tsarukyan,Clay Guida,Joaquim Silva,B,2023-11-22 14:00:00+00:00,2023-12-02 23:30:00+00:00,249.5,12,225,-285,0.29361296472831266,Clay Guida,Joaquim Silva,0.9791666666666666,True
008ebccd3776d116e9b7,2023-12-02 00:00:00+00:00,UFC Fight Night: Dariush vs. Tsarukyan,Clay Guida,Joaquim Silva,B,2023-11-25 20:00:00+00:00,2023-12-02 23:30:00+00:00,171.5,11,255,-321,0.26977668129826027,Clay Guida,Joaquim Silva,0.9791666666666666,True
008ebccd3776d116e9b7,2023-12-02 00:00:00+00:00,UFC Fight Night: Dariush vs. Tsarukyan,Clay Guida,Joaquim Silva,B,2023-11-29 14:00:00+00:00,2023-12-02 23:30:00+00:00,81.5,12,252,-325,0.27087316762268965,Clay Guida,Joaquim Silva,0.9791666666666666,True
01bedd3d3c476f310575,2022-08-13 00:00:00+00:00,UFC Fight Night: Vera vs. Cruz,Nate Landwehr,David Onama,A,2022-08-03 14:00:00+00:00,2022-08-13 23:00:00+00:00,249.0,12,180,-227,0.33970496571784753,Nate Landwehr,David Onama,0.9583333333333334,True
01bedd3d3c476f310575,2022-08-13 00:00:00+00:00,UFC Fight Night: Vera vs. Cruz,Nate Landwehr,David Onama,A,2022-08-06 20:00:00+00:00,2022-08-13 23:00:00+00:00,171.0,12,162,-200,0.3640776699029126,Nate Landwehr,David Onama,0.9583333333333334,True
01bedd3d3c476f310575,2022-08-13 00:00:00+00:00,UFC Fight Night: Vera vs. Cruz,Nate Landwehr,David Onama,A,2022-08-10 14:00:00+00:00,2022-08-13 23:00:00+00:00,81.0,14,220,-278,0.2982013253392238,Nate Landwehr,David Onama,0.9583333333333334,True
01befeef9196a8330e56,2022-11-19 00:00:00+00:00,UFC Fight Night: Nzechukwu vs. Cutelaba,Vanessa Demopoulos,Maria Oliveira,A,2022-11-09 14:00:00+00:00,2022-11-19 18:00:00+00:00,244.0,8,100,-124,0.4745762711864407,Maria Oliveira,Vanessa Demopoulos,0.75,False
01befeef9196a8330e56,2022-11-19 00:00:00+00:00,UFC Fight Night: Nzechukwu vs. Cutelaba,Vanessa Demopoulos,Maria Oliveira,A,2022-11-12 20:00:00+00:00,2022-11-19 18:00:00+00:00,166.0,10,100,-124,0.4745762711864407,Maria Oliveira,Vanessa Demopoulos,0.75,False
01befeef9196a8330e56,2022-11-19 00:00:00+00:00,UFC Fight Night: Nzechukwu vs. Cutelaba,Vanessa Demopoulos,Maria Oliveira,A,2022-11-16 14:00:00+00:00,2022-11-19 19:00:00+00:00,77.0,13,100,-121,0.4773218142548596,Vanessa Demopoulos,Maria Oliveira,0.7916666666666666,True
01c509cf4f792419b893,2025-03-29 00:00:00+00:00,UFC Fight Night: Moreno vs. Erceg,Christian Rodriguez,Melquizael Costa,B,2025-03-19 14:00:00+00:00,2025-03-29 20:10:00+00:00,246.16666666666666,3,-170,140,0.6017699115044248,Melquizael Costa,Christian Rodriguez,0.8402777777777778,False
01c509cf4f792419b893,2025-03-29 00:00:00+00:00,UFC Fight Night: Moreno vs. Erceg,Christian Rodriguez,Melquizael Costa,B,2025-03-22 20:00:00+00:00,2025-03-29 20:10:00+00:00,168.16666666666666,7,-174,142,0.6058007711342579,Melquizael Costa,Christian Rodriguez,0.8402777777777778,False
