promotion,bouts,fighters,direct_ufc,linked_to_ufc,link_rate
Oktagon MMA,665,114,10,59,0.518
Professional Fighters League,549,154,24,118,0.766
Bellator,478,115,12,93,0.809
LFA,400,157,18,96,0.611
CW,244,73,3,41,0.562
UFC Fight Night,242,67,57,67,1.0
UFC,224,66,52,64,0.97
IMMAF,169,34,3,15,0.441
GCF,140,40,2,19,0.475
KOTC,130,56,10,39,0.696
CFFC,127,55,3,32,0.582
AFC,122,71,9,37,0.521
Jungle Fight,120,45,1,23,0.511
Cage Titans FC,118,22,3,14,0.636
IMMAF-WMMAA,118,37,3,16,0.432
UAE Warriors,109,46,1,23,0.5
DCS,88,23,0,10,0.435
KSW,88,30,4,25,0.833
ACB,87,34,6,32,0.941
WMMAA,86,26,2,12,0.462
UFC on ESPN,85,36,31,36,1.0
VFC,84,43,3,26,0.605
Brave CF,82,40,3,25,0.625
CN,82,22,1,9,0.409
FFC,80,44,7,27,0.614
XFN,78,36,4,16,0.444
EFC,78,42,2,22,0.524
GMC,76,36,2,19,0.528
CES,76,27,4,22,0.815
OC,75,28,1,17,0.607
GFC,74,50,2,27,0.54
M-1 Challenge,73,40,4,35,0.875
ACA,72,20,2,17,0.85
Fury,72,26,3,18,0.692
RCC,69,24,1,17,0.708
NFC,67,34,2,12,0.353
BFC,66,39,3,23,0.59
Shooto Brazil,63,31,2,21,0.677
Brutaal Genesis Fight Night,63,13,0,4,0.308
UCMMA,63,16,4,11,0.688
MFC,62,39,9,19,0.487
SFC,61,35,4,21,0.6
CFC,60,34,3,19,0.559
WLF,60,13,1,5,0.385
CC,58,23,2,12,0.522
PFC,56,41,3,25,0.61
ProFC,55,17,1,13,0.765
Dana White's Contender Series,54,49,20,47,0.959
Real Fight Arena,51,25,0,11,0.44
MCC,49,11,0,5,0.455
Rizin FF,47,22,3,18,0.818
Combate Global,47,17,1,7,0.412
Titan,46,23,4,18,0.783
WLMMA,46,23,1,8,0.348
Tuff-N-Uff,45,26,3,16,0.615
LFC,45,24,8,18,0.75
RFC,44,25,2,18,0.72
SFT,44,21,1,13,0.619
One Championship,43,14,2,8,0.571
NP Fight,41,15,0,4,0.267
CWFC,40,23,0,20,0.87
ROC,39,23,3,18,0.783
Eternal,39,11,3,7,0.636
BCMMA,39,13,1,8,0.615
FSC,38,25,1,12,0.48
Shooto,38,8,1,6,0.75
WFCA,38,19,1,13,0.684
Babilon,37,16,0,9,0.562
LFL,37,16,1,7,0.438
CWA,37,16,2,3,0.188
WOCS,37,13,0,6,0.462
FEN,37,15,0,14,0.933
Superior Challenge,36,14,3,13,0.929
WFC,36,25,4,20,0.8
Ares,35,14,2,8,0.571
MF,35,23,1,11,0.478
HG,35,23,1,10,0.435
ECSF,35,10,0,8,0.8
SMMA,33,22,3,14,0.636
NEF,33,11,1,8,0.727
Gladiator Challenge,33,14,0,10,0.714
Combat Zone,33,17,0,11,0.647
AOW,32,6,1,3,0.5
SCL,32,12,0,8,0.667
Caged Aggression,32,15,1,6,0.4
HRMMA,32,6,2,4,0.667
BAMMA,32,15,1,14,0.933
NOW,31,15,2,10,0.667
Caged Steel,30,15,0,7,0.467
AUFC,30,8,0,1,0.125
SF,30,20,3,14,0.7
EPF,29,15,0,6,0.4
100&#37; Fight,28,8,0,6,0.75
UKFC,28,18,1,8,0.444
BFL,28,8,0,4,0.5
Russian MMA Union,28,12,2,9,0.75
PML,28,21,0,4,0.19
GF,27,13,0,9,0.692
CFS,27,18,1,9,0.5
Tru Rev MMA,27,7,0,4,0.571
Maxfight,27,4,0,2,0.5
RF,27,13,0,12,0.923
OFC,27,19,0,10,0.526
Fight Nights,27,15,1,12,0.8
HFC,26,15,3,9,0.6
XKO,26,9,2,4,0.444
SLAM,26,13,0,1,0.077
AFS,26,9,1,5,0.556
WWFC,25,13,0,10,0.769
FCC,25,17,2,6,0.353
Bellator MMA,25,10,1,9,0.9
Cage,24,13,2,11,0.846
IFC,24,17,3,12,0.706
Fabriq MMA,24,15,0,1,0.067
WCMMA,24,10,1,3,0.3
HFS,24,10,3,5,0.5
TFC,24,18,3,13,0.722
Fusion Fight League,23,7,0,4,0.571
RFA,23,15,5,10,0.667
UWC Mexico,23,11,1,3,0.273
Budo,23,14,0,8,0.571
PC,23,9,0,6,0.667
M-1 Global,23,16,1,13,0.812
TF,23,9,1,5,0.556
FF,23,14,0,7,0.5
Eagles,22,5,0,4,0.8
Fusion Fight Night Series,22,18,1,9,0.5
NOTG,22,5,0,4,0.8
PCF,22,10,0,6,0.6
MMA Series,22,12,0,6,0.5
Thunder Fight,21,11,1,7,0.636
SBC,21,10,2,6,0.6
HXMMA,21,12,1,5,0.417
XFC,21,15,3,6,0.4
LXF,21,10,0,7,0.7
WEF,21,7,0,3,0.429
IAF,21,12,0,6,0.5
FNC,21,17,3,13,0.765
Future,21,14,1,9,0.643
CS,20,6,1,6,1.0
KZMMAF,20,4,1,2,0.5
B2 Fighting Series,20,15,3,9,0.6
GCF Challenge,20,11,0,6,0.545
HC,20,9,0,6,0.667
EC,20,10,2,7,0.7
ROTR,20,8,1,8,1.0
COF,20,11,1,3,0.273
CLFC,20,11,2,8,0.727
Nashe Delo,19,8,0,2,0.25
TOC,19,6,0,1,0.167
Combat,19,11,1,6,0.545
EFN,19,16,0,12,0.75
Ignite Fights,19,12,0,6,0.5
Spartacus MMA,19,15,0,8,0.533
Fierce,19,6,0,4,0.667
PF,19,15,1,7,0.467
UFC on Fox,19,11,10,11,1.0
Hardcore FC,19,6,0,0,0.0
Golden Ticket Fight Promotions,19,12,1,6,0.5
Shamrock FC,19,8,0,5,0.625
FCFF,19,5,1,3,0.6
Arena Global,18,13,0,7,0.538
UNF,18,6,0,4,0.667
Octagon Promotion,18,12,1,5,0.417
National Fighting Championship,18,14,0,0,0.0
FFIT,18,8,1,5,0.625
WSC,17,7,0,0,0.0
League S-70,17,15,2,15,1.0
Bushido Lithuania,17,8,0,6,0.75
559 Fights,17,8,0,5,0.625
SHC,17,12,1,7,0.583
TFN,17,10,0,3,0.3
RITC,17,9,0,3,0.333
MOF,17,4,0,0,0.0
Rizin,17,7,0,7,1.0
WFF,17,6,0,4,0.667
GMC Fight Night,17,11,0,2,0.182
Reality Fighting,17,11,0,8,0.727
RMMAU,17,8,0,1,0.125
African Knockout,16,6,0,1,0.167
Zst,16,6,1,2,0.333
OCL,16,7,0,2,0.286
U of MMA,16,4,0,3,0.75
Raged UK MMA,16,5,0,5,1.0
Freon,16,9,0,2,0.222
NAFC,16,4,1,3,0.75
VFN,16,8,0,3,0.375
HDH,16,2,0,2,1.0
PLMMA,16,7,0,6,0.857
XFL,16,9,1,5,0.556
Strikeforce,16,8,3,8,1.0
Tech-Krep FC,16,9,1,7,0.778
X-1,16,8,0,7,0.875
NAAFS,15,4,0,2,0.5
AFL,15,11,1,7,0.636
RAC,15,6,0,3,0.5
Fighting Nexus,15,4,0,2,0.5
Dragon House MMA,15,6,0,1,0.167
MCF,15,9,0,7,0.778
WOW,15,4,0,1,0.25
Shooto Lithuania,15,3,0,3,1.0
MFL,15,9,1,4,0.444
Spar Star Promotions,15,7,0,3,0.429
Evolution Championship,15,5,0,1,0.2
Desert Force,15,4,0,4,1.0
UMMAF,14,4,0,1,0.25
Invicta,14,6,2,4,0.667
Aggrelin,14,7,1,6,0.857
CXF,14,5,0,5,1.0
BSC,14,4,0,1,0.25
NYFE,14,5,0,3,0.6
Samurai Fight,14,9,0,3,0.333
FAC,13,10,2,6,0.6
EBD,13,8,0,3,0.375
RFP,13,10,0,6,0.6
SC,13,10,0,4,0.4
NFT Gym,13,10,1,2,0.2
One,13,4,2,4,1.0
UFT,13,7,0,3,0.429
WTE,13,4,0,2,0.5
UFC on ABC,13,13,11,13,1.0
FLP,13,8,2,6,0.75
Eagle,13,10,0,3,0.3
IGF,13,2,0,2,1.0
WEC,13,3,2,3,1.0
PFMMA,13,7,0,1,0.143
Combate Americas,13,9,0,7,0.778
CWM MMA,13,6,1,5,0.833
CG,13,10,0,7,0.7
CFX,13,3,0,2,0.667
AF,13,10,1,8,0.8
FoG,13,8,1,4,0.5
Adventure Fighters Tournament,12,4,0,3,0.75
Soldado Combat,12,9,0,4,0.444
IFL,12,10,1,3,0.3
Dana White's Tuesday Night Contender Series,12,11,3,11,1.0
