promotion,bouts,fighters,mean_rating,median_rating,p75_rating,vs_ufc,ratable
FEFoMP and Russian MMA Union,1,2,2.0267,2.0267,2.4237,1.55,False
FNG / GFC,1,2,1.8682,1.8682,2.4987,1.3915,False
Moscow Pankration Federation,2,4,1.4779,1.3249,2.3689,1.0012,False
Brave CF 70 / WFC,1,2,1.4028,1.4028,1.5573,0.9261,False
Supreme Fighting,1,2,1.3911,1.3911,1.6828,0.9144,False
Union of Veterans of Sport,1,2,1.3671,1.3671,1.6848,0.8904,False
RCC Boxing Promotions,2,3,1.3432,1.4321,1.9995,0.8665,False
Zero 11 Bar,1,2,1.3429,1.3429,1.7486,0.8662,False
Instinct MMA,1,2,1.2225,1.2225,1.2734,0.7458,False
Extreme Combat Challenge,1,2,1.2158,1.2158,1.71,0.7391,False
SOMMAF,1,2,1.2047,1.2047,1.8454,0.728,False
RadMer,1,2,1.2047,1.2047,1.8454,0.728,False
MX,1,2,1.1905,1.1905,1.4176,0.7138,False
FECALUMA,1,2,1.1594,1.1594,1.2603,0.6827,False
Battlefield,1,2,1.1456,1.1456,1.2036,0.6689,False
EFC / AMC,1,2,1.1434,1.1434,1.5798,0.6667,False
Tech-Krep FC,9,11,1.1401,1.0176,2.0024,0.6634,False
PMMA,2,3,1.1246,1.1586,2.1543,0.6479,False
Muradov Professional League,3,4,1.0695,1.133,1.7257,0.5928,False
AEF,2,3,1.0601,1.0601,2.2157,0.5834,False
FIGMMA,1,2,1.057,1.057,1.2391,0.5803,False
Fight Music,1,2,1.043,1.043,1.0856,0.5663,False
MMA Attack,2,3,1.0334,1.2262,1.6446,0.5567,False
Alliance,1,2,1.0326,1.0326,1.2424,0.5559,False
PG,1,2,1.0175,1.0175,1.5771,0.5408,False
SE,1,2,1.0175,1.0175,1.5771,0.5408,False
GGC,3,4,1.0159,1.1434,2.0161,0.5392,False
Unity FC,1,2,1.0008,1.0008,1.4183,0.5241,False
TNG,1,2,0.993,0.993,1.2277,0.5163,False
PFL,393,332,0.9919,1.0216,1.4918,0.5152,True
Tahiti Fighting Championship,2,3,0.9885,1.0041,2.0545,0.5118,False
Sangai MMA,1,2,0.9802,0.9802,1.1379,0.5035,False
Jez Premier Promotions,2,3,0.973,0.973,2.0545,0.4963,False
GCFC,2,3,0.9726,0.9726,2.0537,0.4959,False
BFL Pro,1,2,0.9726,0.9726,1.5132,0.4959,False
RPC,1,2,0.9726,0.9726,1.5132,0.4959,False
Brave CF 74 / HXMMA,2,4,0.9599,0.7392,1.2551,0.4832,False
PLMMA 17 Extra,1,2,0.9592,0.9592,1.1467,0.4825,False
Beatdown Promotions,1,2,0.9578,0.9578,1.4922,0.4811,False
Checkmate Entertainment,1,2,0.9571,0.9571,1.304,0.4804,False
Prodigy MMA,1,2,0.9507,0.9507,1.482,0.474,False
Explosive Fight Promotions,1,2,0.9507,0.9507,1.482,0.474,False
Cage Warriors,4,7,0.9419,0.9123,1.7435,0.4652,False
Rise,1,2,0.9409,0.9409,1.0844,0.4642,False
Minotaur,1,2,0.9373,0.9373,1.4508,0.4606,False
Battlequest,1,2,0.9362,0.9362,1.078,0.4595,False
FFI,1,2,0.9334,0.9334,1.4575,0.4567,False
United Combat League,2,4,0.933,0.891,1.2436,0.4563,False
Titov Boxing Promotion,10,12,0.9306,1.099,1.9995,0.4539,False
DTC Fights,1,2,0.9293,0.9293,1.0689,0.4526,False
Union of Mixed Martial Arts,2,4,0.9272,0.6498,1.3097,0.4505,False
FCR 24 / BoB,1,2,0.9252,0.9252,1.0635,0.4485,False
MixFace / Tech-Krep FC,1,2,0.9065,0.9065,1.1255,0.4298,False
Fight Kingdom,1,2,0.9049,0.9049,1.4172,0.4282,False
Real Fights,1,2,0.9023,0.9023,0.987,0.4256,False
SFMMA,3,4,0.8923,0.9578,2.0265,0.4156,False
Zuri Warriors Championship,2,4,0.89,0.8884,1.2782,0.4133,False
Celtic Gladiator,2,4,0.8863,0.8107,1.2251,0.4096,False
Flex Fight Series Vol.,6,6,0.8739,1.0964,1.6707,0.3972,False
Atlas MMA,1,2,0.8678,0.8678,1.4466,0.3911,False
MCF Productions,1,2,0.8589,0.8589,1.4202,0.3822,False
FEA Championship,1,2,0.857,0.857,1.4554,0.3803,False
Ringlife Talents,1,2,0.8569,0.8569,1.3932,0.3802,False
Bazara 0 Fight Club,1,2,0.8516,0.8516,1.3165,0.3749,False
Team Bushido,1,2,0.8472,0.8472,1.4363,0.3705,False
Dana White's Contender Series,45,85,0.8458,0.8593,1.4417,0.3691,True
R1 Fighting Series,3,6,0.843,0.8355,1.1349,0.3663,False
RBFC,2,3,0.8416,1.0158,1.4997,0.3649,False
Imbgim FC,1,2,0.8378,0.8378,1.0404,0.3611,False
LFC / LK,1,2,0.8376,0.8376,1.0611,0.3609,False
CPMMAF,1,2,0.837,0.837,1.111,0.3603,False
EFM Show,2,4,0.8357,0.8823,1.3622,0.359,False
ANMMA,2,4,0.832,0.6027,1.3127,0.3553,False
PWP,1,2,0.8309,0.8309,0.9009,0.3542,False
RMMAU,12,15,0.8287,0.79,1.7526,0.352,False
C4 Fighting,1,2,0.8266,0.8266,0.9323,0.3499,False
Victorious,1,2,0.8185,0.8185,0.9033,0.3418,False
PACF,1,2,0.8152,0.8152,0.9237,0.3385,False
Eagle,10,17,0.8142,0.605,1.7272,0.3375,False
B2F,1,2,0.8112,0.8112,0.8313,0.3345,False
OCE Professional,1,2,0.8079,0.8079,1.2802,0.3312,False
Team Nogueira,2,4,0.8064,0.8306,1.3017,0.3297,False
KMC,1,2,0.7931,0.7931,1.2594,0.3164,False
Russian MMA Union,23,30,0.7927,0.669,1.2328,0.316,False
ML,3,4,0.7923,1.0114,1.6768,0.3156,False
WCE,1,2,0.7915,0.7915,1.2572,0.3148,False
Professional Fight Gym Mix Kombat,1,2,0.7903,0.7903,0.8842,0.3136,False
PAWFC,3,6,0.7887,0.6413,0.7291,0.312,False
Bellator,442,384,0.7855,0.712,1.3554,0.3088,True
Shoot Challenge,1,2,0.7854,0.7854,1.2486,0.3087,False
Rizin,65,74,0.7833,0.6891,1.4407,0.3066,True
MMA Uncaged FC,1,2,0.7797,0.7797,1.2405,0.303,False
Shooto Germany,1,2,0.7776,0.7776,0.8674,0.3009,False
IE,1,2,0.7752,0.7752,1.2342,0.2985,False
Extreme Fighters MMA,1,2,0.7743,0.7743,1.0749,0.2976,False
FederKombat,1,2,0.7673,0.7673,1.0942,0.2906,False
Pitbull Fighting,1,2,0.7599,0.7599,1.2128,0.2832,False
Ruckus Entertainment,1,2,0.7572,0.7572,0.8403,0.2805,False
Budo Fights,1,2,0.7517,0.7517,1.2013,0.275,False
ZSSC,3,4,0.7482,0.7482,1.6446,0.2715,False
ISKA,1,2,0.7467,0.7467,0.8263,0.27,False
Combat USA,3,5,0.7463,0.7729,1.259,0.2696,False
STA,1,2,0.7418,0.7418,0.7444,0.2651,False
Hoosier,1,2,0.7409,0.7409,1.0667,0.2642,False
Euro,2,4,0.7406,0.8429,1.1156,0.2639,False
GAMMA,4,5,0.738,0.8263,1.6482,0.2613,False
Ronin MMA,1,2,0.7365,0.7365,1.1014,0.2598,False
GOTC MMA,2,4,0.7343,0.8475,1.1589,0.2576,False
Brave CF X GFC,1,2,0.7343,0.7343,0.8083,0.2576,False
EMMAA,4,6,0.7327,0.8883,1.2125,0.256,False
Almighty Fighting Championship,2,4,0.7308,0.5379,1.4174,0.2541,False
RCC,62,75,0.7306,0.7257,1.2328,0.2539,True
WFCA Baltic,2,3,0.7292,0.8238,1.7815,0.2525,False
Elite Fight Night,2,3,0.7277,0.7305,0.8401,0.251,False
WFS,2,4,0.7228,0.8471,1.2978,0.2461,False
WMMAA,71,78,0.7216,0.3141,1.7815,0.2449,True
ProFC Ukraine,1,2,0.7211,0.7211,1.1585,0.2444,False
Warrior's Way,5,6,0.7195,0.9739,1.3717,0.2428,False
FTW,1,2,0.7191,0.7191,0.7897,0.2424,False
Submission,1,2,0.7185,0.7185,1.1549,0.2418,False
Valor Fight,1,2,0.7185,0.7185,1.1549,0.2418,False
SportFight,1,2,0.7185,0.7185,1.1549,0.2418,False
Pinnacle,4,6,0.7146,0.8475,1.0728,0.2379,False
TR Fight,1,2,0.7136,0.7136,0.7824,0.2369,False
Bradar Fight,4,6,0.7073,0.585,1.0998,0.2306,False
SMMAF,2,3,0.7058,0.7854,1.7118,0.2291,False
MAC,8,12,0.7048,0.7162,1.3698,0.2281,False
Mineira MMA Federation,1,2,0.7042,0.7042,0.7699,0.2275,False
Battle on Volga,6,11,0.7029,0.385,0.5038,0.2262,False
M-1 Challenge,65,99,0.702,0.5704,1.0945,0.2253,True
51Fifty,1,2,0.7016,0.7016,0.8962,0.2249,False
BFW,5,6,0.6981,0.7185,1.5913,0.2214,False
HFS,19,24,0.6975,0.4256,1.8711,0.2208,False
Real,1,2,0.6965,0.6965,0.9199,0.2198,False
Borroka Promotions,2,3,0.6929,0.7169,1.5023,0.2162,False
F4P Championship,1,2,0.6896,0.6896,0.7686,0.2129,False
Allstars Fight Night,2,3,0.6875,0.6875,0.8082,0.2108,False
Action Fight League,2,3,0.6875,0.6948,1.5225,0.2108,False
GCMMA,1,2,0.6861,0.6861,0.7254,0.2094,False
MMASH,2,4,0.6858,0.5647,0.9498,0.2091,False
Dominion Warrior,1,2,0.6847,0.6847,0.7441,0.208,False
Governors Cup,3,4,0.6799,0.7984,1.4161,0.2032,False
ACA,66,69,0.679,0.7514,1.0483,0.2023,True
TNT Fight Series,6,8,0.6783,0.2741,2.0134,0.2016,False
Union MMA Pro,1,2,0.6781,0.6781,1.0984,0.2014,False
UMMAP,1,2,0.6781,0.6781,1.0984,0.2014,False
GPG,1,2,0.6781,0.6781,1.0984,0.2014,False
One Championship,41,53,0.6678,0.6127,1.3432,0.1911,True
WFCF,1,2,0.6652,0.6652,0.7183,0.1885,False
FCR,8,10,0.6637,0.3655,1.7118,0.187,False
HF,1,2,0.663,0.663,1.0774,0.1863,False
OFF,1,2,0.663,0.663,1.0774,0.1863,False
The Cage MMA,1,2,0.6532,0.6532,0.7537,0.1765,False
SFL 49 / CageSport,1,2,0.6515,0.6515,0.7,0.1748,False
Tambov MMA Federation,1,2,0.6498,0.6498,0.7837,0.1731,False
Torres Fight,1,2,0.6487,0.6487,1.0575,0.172,False
ND,1,2,0.6474,0.6474,1.0318,0.1707,False
FHB,1,2,0.6466,0.6466,1.0545,0.1699,False
CFP,2,3,0.6466,0.6466,1.4624,0.1699,False
Fox Fight Joacaba,1,2,0.6466,0.6466,1.0545,0.1699,False
Luctor Cage Fight,1,2,0.6457,0.6457,0.6925,0.169,False
Shooto Switzerland,1,2,0.6455,0.6455,1.0504,0.1688,False
SJW,1,2,0.6441,0.6441,0.6903,0.1674,False
UAMA,4,6,0.6439,0.6142,1.3444,0.1672,False
TCMMAC,1,2,0.6427,0.6427,0.6884,0.166,False
PFE,2,3,0.6424,0.6084,0.8684,0.1657,False
Challenge Cup,1,2,0.6421,0.6421,1.0482,0.1654,False
POC,1,2,0.6421,0.6421,1.0482,0.1654,False
Prime,4,7,0.6416,0.7402,0.8409,0.1649,False
Champions Night,1,2,0.6413,0.6413,0.6866,0.1646,False
IKombat / Ichigeki,1,2,0.6403,0.6403,1.0457,0.1636,False
GMC Olympix,1,2,0.6383,0.6383,0.7787,0.1616,False
Dream,2,3,0.6366,0.7752,0.8647,0.1599,False
Black Combat,1,2,0.6363,0.6363,0.68,0.1596,False
Phoenix Fight Night,1,2,0.6354,0.6354,0.7141,0.1587,False
League S-70,15,28,0.6348,0.43,1.1698,0.1581,False
Copa Brasil MMA,1,2,0.6315,0.6315,0.727,0.1548,False
AMMA,1,2,0.6311,0.6311,0.9933,0.1544,False
Extravaganza,1,2,0.6285,0.6285,1.0293,0.1518,False
Batalha MMA,2,4,0.6269,0.2017,0.8499,0.1502,False
WAR,4,5,0.6252,0.5989,0.906,0.1485,False
Brave CF 81 / WFC,1,2,0.6238,0.6238,0.6634,0.1471,False
Challenge,1,2,0.6218,0.6218,0.7347,0.1451,False
CM,1,2,0.6212,0.6212,1.0191,0.1445,False
Ural FC X Ozon,1,2,0.6206,0.6206,1.0183,0.1439,False
CBC,1,2,0.6206,0.6206,1.0183,0.1439,False
WXF,1,2,0.6206,0.6206,1.0183,0.1439,False
PBSC,1,2,0.6206,0.6206,1.0183,0.1439,False
Mix Fight Israel,2,3,0.6205,0.8583,0.8986,0.1438,False
CageSport,1,2,0.6204,0.6204,0.6845,0.1437,False
Valuyki Forpost,1,2,0.6185,0.6185,0.6489,0.1418,False
UAE Warriors,88,111,0.6158,0.544,0.979,0.1391,True
