promotion,shared_fighters,mean_gap_vs_ufc,median_gap_vs_ufc,reportable,declared_tier
Bradar Fight,1,-1.5041,-1.5041,False,D
FFIT,1,-1.2993,-1.2993,False,D
MF,1,-1.0986,-1.0986,False,D
Shooto Brazil,1,-0.9808,-0.9808,False,D
FSC,1,-0.6931,-0.6931,False,D
CWM MMA,1,-0.6931,-0.6931,False,D
Combat USA,1,-0.6614,-0.6614,False,D
ProFC,1,-0.6061,-0.6061,False,D
SFT,2,-0.528,-0.5893,False,D
ACB,3,-0.5062,-0.2513,False,D
OC,1,-0.4418,-0.4418,False,D
FNC,2,-0.4055,-0.4055,False,D
KZMMAF,1,-0.4055,-0.4055,False,D
One Championship,2,-0.4055,-0.4055,False,D
Fight of Gladiators,1,-0.4055,-0.4055,False,D
ACA,4,-0.2962,-0.2877,False,D
WMMAA,2,-0.2463,-0.3233,False,D
ROC,1,-0.2231,-0.2231,False,D
LFC,4,-0.2189,-0.3466,False,D
WLF,2,-0.2003,-0.0771,False,D
M-1 Challenge,1,-0.1178,-0.1178,False,D
Future,1,-0.1178,-0.1178,False,D
WEC,3,-0.0464,0.0,False,D
HFS,2,0.0,0.0,False,D
VFC,1,0.0,0.0,False,D
Jue Cheng King,1,0.0,0.0,False,D
Muradov Professional League,1,0.0,0.0,False,D
Cage Rage,1,0.0,0.0,False,D
SFMMA,1,0.0,0.0,False,D
WFC,2,0.0536,0.0112,False,D
Russian MMA Union,1,0.069,0.069,False,D
MMAA,2,0.094,0.3466,False,D
PFL,30,0.1224,-0.1438,True,A
Flawless,1,0.1542,0.1542,False,D
Rizin,5,0.1668,-0.2877,True,C
CW,3,0.1728,0.5878,False,D
Tuff-N-Uff,1,0.2231,0.2231,False,D
IFC WC,1,0.2231,0.2231,False,D
BCM Promotions,1,0.2231,0.2231,False,D
Bellator,29,0.2384,0.0,True,A
Legion Fighting Championship,2,0.2616,0.2616,False,D
WFCA,2,0.2617,0.2695,False,D
GGC,1,0.2877,0.2877,False,D
Strikeforce,3,0.2976,0.4055,False,D
Dana White's Contender Series,2,0.3466,0.3466,False,D
IMMAF-WMMAA,4,0.3891,0.3993,False,D
Jungle Fight,1,0.4055,0.4055,False,D
M-1 Global,1,0.4055,0.4055,False,D
BYE,1,0.4055,0.4055,False,D
GFC,2,0.4778,0.4778,False,D
MMA Attack,1,0.4796,0.4796,False,D
FNM,1,0.4796,0.4796,False,D
PF,1,0.4796,0.4796,False,D
KSW,3,0.4904,-0.4055,False,C
ProFC Grand Prix Global,1,0.4925,0.4925,False,D
CFFC,4,0.4974,0.3284,False,D
LFA,12,0.5152,0.2899,True,D
One,2,0.5493,0.5493,False,D
NFC,1,0.5596,0.5596,False,D
RXF,1,0.5878,0.5878,False,D
CMTA,1,0.5878,0.5878,False,D
FLP,2,0.5893,0.3901,False,D
HRMMA,2,0.5928,0.5928,False,D
SF,2,0.5928,0.5928,False,D
DCS,2,0.602,0.602,False,D
XKO,2,0.6688,0.6688,False,D
SMMAF,1,0.6931,0.6931,False,D
Titan,1,0.6931,0.6931,False,D
C3 Fights,2,0.7566,0.6768,False,D
ZSSC,1,0.7673,0.7673,False,D
Cage Titans FC,3,0.7798,0.6931,False,D
Governors Cup,1,0.7802,0.7802,False,D
MPF,1,0.8109,0.8109,False,D
Reality Fighting,1,0.8109,0.8109,False,D
RFA,3,0.8209,0.5878,False,D
USWF,1,0.8473,0.8473,False,D
Oktagon MMA,9,0.8527,1.1394,True,D
UCMMA,2,0.9145,0.7136,False,D
Pinnacle,1,0.9163,0.9163,False,D
HFC,1,0.9163,0.9163,False,D
IMMAF,5,0.9378,1.3863,True,D
Rebel,1,0.9445,0.9445,False,D
Chinese Kung Fu Championships,1,0.9445,0.9445,False,D
Caged Aggression,1,0.9933,0.9933,False,D
OFC,1,1.0986,1.0986,False,D
WCS,1,1.0986,1.0986,False,D
TU,1,1.0986,1.0986,False,D
Adrenaline,1,1.0986,1.0986,False,D
Affliction,1,1.0986,1.0986,False,D
GetDown Promotions,1,1.0986,1.0986,False,D
CKFC,1,1.0986,1.0986,False,D
FCOC,1,1.0986,1.0986,False,D
LFN,1,1.0986,1.0986,False,D
CN,1,1.0986,1.0986,False,D
MFC,2,1.0986,1.0986,False,D
Rogue Promotions,1,1.0986,1.0986,False,D
Inka,1,1.0986,1.0986,False,D
