fight_key,rule_version,logged_at,snapshot_at,commence_time,date,fighter_a,fighter_b,side,pick,fair_prob,bet_odds,bet_book,pool_books,lead_hours,logged_before_event
billy goff|ty miller,h22.1,2026-08-14T05:09:18Z,2026-08-08T13:11:35Z,2026-08-09T00:15:00Z,2026-08-09,Ty Miller,Billy Goff,a,Ty Miller,0.779187,-360.0,coolbet,17,11.06,False
darren elkins|yadier delvalle,h22.1,2026-08-14T05:09:18Z,2026-08-08T13:11:35Z,2026-08-09T01:15:00Z,2026-08-09,Darren Elkins,Yadier DelValle,b,Yadier DelValle,0.863916,-750.0,fanduel,17,12.06,False
chidi njokuani|joel alvarez,h22.1,2026-08-16T18:47:48Z,2026-08-15T12:58:30Z,2026-08-16T00:45:00Z,2026-08-16,Chidi Njokuani,Joel Alvarez,b,Joel Alvarez,0.742324,-286.0,coolbet,14,11.78,False
donte johnson|eric mcconico,h22.1,2026-08-16T18:47:48Z,2026-08-15T12:58:30Z,2026-08-15T23:45:00Z,2026-08-15,Donte Johnson,Eric McConico,a,Donte Johnson,0.739424,-286.0,nordicbet,12,10.78,False
dustin stoltzfus|mansur abdul malik,h22.1,2026-08-16T18:47:48Z,2026-08-15T12:58:30Z,2026-08-16T01:45:00Z,2026-08-16,Mansur Abdul-Malik,Dustin Stoltzfus,a,Mansur Abdul-Malik,0.846491,-556.0,coolbet,16,12.78,False
edson barboza|esteban ribovics,h22.1,2026-08-16T18:47:48Z,2026-08-15T12:58:30Z,2026-08-16T01:15:00Z,2026-08-16,Edson Barboza,Esteban Ribovics,b,Esteban Ribovics,0.846466,-556.0,coolbet,18,12.28,False
ian garry|islam makhachev,h22.1,2026-08-16T18:47:48Z,2026-08-15T12:58:30Z,2026-08-16T03:30:00Z,2026-08-16,Islam Makhachev,Ian Garry,a,Islam Makhachev,0.752661,-330.0,fanduel,16,14.53,False
jeremiah wells|myktybek orolbai,h22.1,2026-08-16T18:47:48Z,2026-08-15T06:57:27Z,2026-08-15T21:45:00Z,2026-08-15,Jeremiah Wells,Myktybek Orolbai,b,Myktybek Orolbai,0.886728,-1000.0,fanduel,12,14.79,False
lucas fernando|rafael tobias,h22.1,2026-08-16T18:47:48Z,2026-08-15T12:58:30Z,2026-08-15T22:45:00Z,2026-08-15,Rafael Tobias,Lucas Fernando,b,Lucas Fernando,0.717472,-265.0,betonlineag,12,9.78,False
anthony wint|terrance chatman,h22.1,2026-08-22T01:50:54Z,2026-08-22T01:50:09Z,2026-08-23T00:15:00Z,2026-08-23,Anthony Wint,Terrance Chatman,a,Anthony Wint,0.875359,-900.0,draftkings,16,22.41,True
carli judice|jeisla chaves,h22.1,2026-08-22T01:50:54Z,2026-08-22T01:50:09Z,2026-08-23T00:45:00Z,2026-08-23,Carli Judice,Jeisla Chaves,a,Carli Judice,0.823803,-560.0,betrivers,17,22.91,True
elise reed|shanelle dyer,h22.1,2026-08-22T01:50:54Z,2026-08-22T01:50:09Z,2026-08-22T21:15:00Z,2026-08-22,Shanelle Dyer,Elise Reed,a,Shanelle Dyer,0.864729,-714.0,coolbet,14,19.41,True
jamall emmers|lerryan douglas,h22.1,2026-08-22T01:50:54Z,2026-08-22T01:50:09Z,2026-08-22T23:45:00Z,2026-08-22,Jamall Emmers,Lerryan Douglas,b,Lerryan Douglas,0.765251,-370.0,betus,13,21.91,True
marcio barbosa|ryan kuse,h22.1,2026-08-22T01:50:54Z,2026-08-22T01:50:09Z,2026-08-22T22:45:00Z,2026-08-22,Márcio Barbosa,Ryan Kuse,a,Márcio Barbosa,0.866574,-800.0,betonlineag,12,20.91,True
marquel mederos|mason jones,h22.1,2026-08-22T01:50:54Z,2026-08-22T01:50:09Z,2026-08-23T01:15:00Z,2026-08-23,Marquel Mederos,Mason Jones,b,Mason Jones,0.744816,-295.0,fanduel,16,23.41,True
reinier de ridder|roman dolidze,h22.1,2026-08-22T01:50:54Z,2026-08-22T01:50:09Z,2026-08-23T01:45:00Z,2026-08-23,Reinier de Ridder,Roman Dolidze,a,Reinier de Ridder,0.760022,-380.0,draftkings,17,23.91,True
alex apodaca|bella mir,h22.1,2026-08-25T01:52:57Z,2026-08-25T01:52:12Z,2026-08-25T23:00:00Z,2026-08-25,Bella Mir,Alex Apodaca,a,Bella Mir,0.931898,-2200.0,fanduel,4,21.13,True
alexis miranda|ronald humphrey,h22.1,2026-08-25T01:52:57Z,2026-08-25T01:52:12Z,2026-08-25T23:00:00Z,2026-08-25,Ronald Humphrey,Alexis Miranda,a,Ronald Humphrey,0.87126,-800.0,betmgm,4,21.13,True
andre lima|namsrai batbayar,h22.1,2026-08-28T11:23:22Z,2026-08-28T11:22:35Z,2026-08-29T09:40:00Z,2026-08-29,Andre Lima,Namsrai Batbayar,a,Andre Lima,0.717217,-250.0,betmgm,13,22.29,True
bilal hasan|nilson rojas,h22.1,2026-08-28T11:23:22Z,2026-08-28T11:22:35Z,2026-08-29T10:15:00Z,2026-08-29,Nilson Rojas,Bilal Hasan,b,Bilal Hasan,0.849793,-667.0,coolbet,15,22.87,True
hector santiago|lawrence lui,h22.1,2026-08-28T11:23:22Z,2026-08-28T11:22:35Z,2026-08-29T08:00:00Z,2026-08-29,Hector Santiago,Lawrence Lui,b,Lawrence Lui,0.715471,-280.0,betonlineag,13,20.62,True
kevin borjas|rei tsuruya,h22.1,2026-08-28T11:23:22Z,2026-08-28T11:22:35Z,2026-08-29T09:15:00Z,2026-08-29,Kevin Borjas,Rei Tsuruya,b,Rei Tsuruya,0.861628,-645.0,coolbet,12,21.87,True
aori qileng|kai asakura,h22.1,2026-08-28T22:19:15Z,2026-08-28T22:18:38Z,2026-08-29T11:45:00Z,2026-08-29,Kai Asakura,Aori Qileng,a,Kai Asakura,0.792869,-450.0,betonlineag,18,13.44,True
song yadong|umar nurmagomedov,h22.1,2026-08-28T22:19:15Z,2026-08-28T22:18:38Z,2026-08-29T12:45:00Z,2026-08-29,Umar Nurmagomedov,Song Yadong,a,Umar Nurmagomedov,0.831198,-588.0,coolbet,17,14.44,True
kurtis campbell|trevor peek,h22.1,2026-09-04T20:46:00Z,2026-09-04T20:45:14Z,2026-09-05T19:45:00Z,2026-09-05,Trevor Peek,Kurtis Campbell,b,Kurtis Campbell,0.771362,-360.0,coolbet,15,23.0,True
losene keita|muhammadjon naimov,h22.1,2026-09-04T20:46:00Z,2026-09-04T20:45:14Z,2026-09-05T19:15:00Z,2026-09-05,Muhammadjon Naimov,Losene Keita,b,Losene Keita,0.77025,-355.0,betonlineag,17,22.5,True
