MOVES 1,675,908 rows in 228s
RESULT
           book  observations  cards   slope     r2  ci90_low  ci90_high
     winamax_fr           510      3  0.2340 0.0464    0.0525     0.4058
      intertops          2411      6  0.0646 0.0009    0.0161     0.1092
         lowvig         69003    195  0.0077 0.0001    0.0040     0.0152
        wynnbet         33905     85  0.0065 0.0001    0.0008     0.0410
         bovada         70924    176  0.0063 0.0000    0.0029     0.0138
     draftkings         91760    227  0.0055 0.0000    0.0025     0.0127
   betanysports         22637     53  0.0052 0.0001    0.0020     0.0276
         betmgm         75555    196  0.0043 0.0000    0.0022     0.0116
     mybookieag         44664    129  0.0041 0.0000    0.0010     0.0135
     twinspires         39758     92  0.0038 0.0000   -0.0001     0.0146
     betclic_fr          1883     11  0.0033 0.0009    0.0008     0.1665
      unibet_eu         46466    105  0.0031 0.0000    0.0009     0.0083
        coolbet         36425     87  0.0027 0.0000    0.0008     0.0138
      superbook         30136     74  0.0026 0.0000    0.0012     0.0081
  betfair_ex_eu         40212     93  0.0025 0.0000   -0.0022     0.0102
    pointsbetus         17855     75  0.0023 0.0000   -0.0001     0.0211
      everygame         13232     31  0.0023 0.0000    0.0007     0.0226
livescorebet_eu         19200     45  0.0017 0.0000    0.0005     0.0054
        betclic         45272    195  0.0017 0.0000    0.0003     0.0055
      unibet_us         29973     69  0.0014 0.0000    0.0002     0.0060
      betrivers         78382    183  0.0013 0.0000    0.0004     0.0037
       barstool         39222     94  0.0012 0.0000   -0.0005     0.0054
      unibet_fr          2162     11  0.0011 0.0001    0.0006     0.0548
        betsson         30696     76  0.0010 0.0000    0.0002     0.0045
        onexbet         10820     26  0.0003 0.0000   -0.0008     0.0423
          betus         31522     77 -0.0001 0.0000   -0.0128     0.0120
      unibet_nl          4690     12 -0.0003 0.0000   -0.0372     0.0331
    williamhill          5387     37 -0.0004 0.0000   -0.0026     0.0281
       pinnacle         91723    228 -0.0164 0.0004   -0.0613     0.0112
        fanduel         87173    220 -0.0174 0.0004   -0.0648     0.0083
    betonlineag         86025    219 -0.0182 0.0005   -0.0656     0.0096
        betfair         51699    134 -0.0188 0.0010   -0.0563     0.0037
      nordicbet         72108    187 -0.0207 0.0007   -0.0654     0.0026
 williamhill_us         77507    192 -0.0214 0.0008   -0.0827     0.0089
      matchbook         39433    220 -0.0297 0.0013   -0.0988     0.0107
       sport888         58856    187 -0.0423 0.0026   -0.1216     0.0033
    marathonbet         37327    208 -0.0577 0.0051   -0.1484     0.0027
    circasports          1476      3 -0.0775 0.0004   -0.1385     0.0590
         unibet         37973    105 -0.0933 0.0078   -0.2399     0.0061
     sugarhouse         42710    106 -0.0966 0.0077   -0.2195     0.0054
      bookmaker         15789     51 -0.1378 0.0177   -0.3090     0.0681
         foxbet         12468     38 -0.1460 0.0213   -0.3307     0.0374
         betway         20934     58 -0.1467 0.0194   -0.3120     0.0656
        caesars          8045     29 -0.1499 0.0217   -0.3322     0.0609
