fetched_at,date,fighter_a,fighter_b,odds_a,odds_b
2026-07-09T14:00Z,2026-07-11,Zoran Milic,Aaron Aby,100,-140
2026-07-09T14:00Z,2026-07-11,Patrik Šebek,Altin Zenuni,250,-400
2026-07-09T14:00Z,2026-07-11,Kamil Oniszczuk,Mick Stanton,-300,200
2026-07-09T14:00Z,2026-07-11,Cihad Akipa,Mate Kertesz,-400,250
2026-07-09T14:00Z,2026-07-11,Merab Dvalishvili,Henry Cejudo,165,-240
2026-07-09T14:00Z,2026-07-11,Patrik Kincl,Hojat Khajevand,-250,170
2026-07-09T14:00Z,2026-07-11,Krzysztof Jotko,Kerim Engizek,-250,170
2026-07-09T14:00Z,2026-07-11,Marc Doussis,Olutobi Ayodeji Kalejaiye,-400,250
2026-07-09T14:00Z,2026-07-11,Cody Durden,Alessandro Costa,200,-245
2026-07-09T14:00Z,2026-07-11,Paddy Pimblett,Benoit Saint-Denis,122,-145
2026-07-09T14:00Z,2026-07-11,Max Holloway,Conor McGregor,-230,185
2026-07-09T14:00Z,2026-07-11,John Garza,Farid Basharat,450,-650
2026-07-09T14:00Z,2026-07-11,Ryan Gandra,Zachary Reese,-133,112
2026-07-09T14:00Z,2026-07-11,Damian Pinas,Cesar Almeida,-238,195
2026-07-09T14:00Z,2026-07-11,Tracy Cortez,Wang Cong,-110,-110
2026-07-09T14:00Z,2026-07-11,Luke Riley,Kai Kamaka,-270,220
2026-07-09T14:00Z,2026-07-11,Cody Garbrandt,Adrian Yanez,330,-435
2026-07-09T14:00Z,2026-07-12,Gable Steveson,Elisha Ellison,-2800,1100
2026-07-09T14:00Z,2026-07-12,Robert Whittaker,Nikita Krylov,-135,114
2026-07-09T14:00Z,2026-07-12,King Green,Terrance Mckinney,114,-138
2026-07-09T14:00Z,2026-07-12,Brandon Royval,Lone'er Kavanagh,180,-220
2026-07-09T14:00Z,2026-07-12,Cory Sandhagen,Mario Bautista,-142,115
2026-07-09T14:00Z,2026-07-18,Levi Rodrigues,Felipe Franco,-185,160
2026-07-09T14:00Z,2026-07-18,Tommy McMillen,Alberto Montes,105,-125
2026-07-09T14:00Z,2026-07-18,Alden Coria,Stewart Nicoll,-1000,675
2026-07-09T14:00Z,2026-07-18,Austin Bashi,Jose Delgado,100,-119
2026-07-09T14:00Z,2026-07-18,Seok Hyun Ko,Jean-Paul Lebosnoyani,-200,170
2026-07-09T14:00Z,2026-07-18,Chase Hooper,Mitch Ramirez,-300,246
2026-07-09T14:00Z,2026-07-18,Jared Cannonier,Christian Leroy Duncan,250,-305
2026-07-09T14:00Z,2026-07-18,Tabatha Ricci,Fatima Kline,300,-400
2026-07-09T14:00Z,2026-07-18,Kevin Holland,Jacobe Smith,214,-260
2026-07-09T14:00Z,2026-07-19,Dricus Du Plessis,Kamaru Usman,-260,220
2026-07-09T14:00Z,2026-07-25,Magomed Ankalaev,Khalil Rountree,-310,254
2026-07-09T14:00Z,2026-08-16,Mackenzie Dern,Gillian Robertson,-225,172
2026-07-09T14:00Z,2026-08-16,Islam Makhachev,Ian Garry,-350,280
2026-07-09T14:00Z,2026-08-29,Umar Nurmagomedov,Song Yadong,-400,309
2026-07-09T14:00Z,2026-12-27,Manel Kape,Joshua Van,-190,165
2026-07-09T14:00Z,2026-12-31,Josh Hokit,Alex Pereira,-160,140
2026-07-09T14:00Z,2026-12-31,Justin Gaethje,Arman Tsarukyan,385,-500
2026-07-09T14:00Z,2026-12-31,Ciryl Gane,Josh Hokit,-250,210
2026-07-09T14:00Z,2026-12-31,Justin Gaethje,Ilia Topuria,210,-250
2026-07-09T14:00Z,2026-12-31,Valentina Shevchenko,Natalia Silva,-250,210
2026-07-09T14:00Z,2026-12-31,Conor McGregor,Jorge Masvidal,-145,125
2026-07-09T14:00Z,2027-01-01,Alexandre Pantoja,Joshua Van,-200,170
2026-07-09T14:00Z,2027-01-01,Tom Aspinall,Ciryl Gane,-125,105
2026-07-09T14:00Z,2027-01-01,Khamzat Chimaev,Paulo Henrique Costa,-500,375
2026-07-09T14:00Z,2027-01-01,Sean Strickland,Khamzat Chimaev,175,-205
2026-07-09T14:00Z,2027-01-01,Merab Dvalishvili,Petr Yan,150,-175
2026-07-09T14:00Z,2027-01-01,Sean Strickland,Nassourdine Imavov,-106,-114
2026-07-09T14:00Z,2027-07-02,Islam Makhachev,Kamaru Usman,-330,270
2026-07-09T14:00Z,2027-07-11,Paddy Pimblett,Conor McGregor,-150,130
2026-07-12T15:05Z,2026-07-18,Levi Rodrigues,Felipe Franco,-185,154
2026-07-12T15:05Z,2026-07-18,Tommy McMillen,Alberto Montes,-110,-110
2026-07-12T15:05Z,2026-07-18,Alden Coria,Stewart Nicoll,-1000,630
2026-07-12T15:05Z,2026-07-18,Austin Bashi,Jose Delgado,100,-120
2026-07-12T15:05Z,2026-07-18,Seok Hyun Ko,Jean-Paul Lebosnoyani,-200,166
2026-07-12T15:05Z,2026-07-18,Tabatha Ricci,Fatima Kline,285,-360
2026-07-12T15:05Z,2026-07-19,Chase Hooper,Mitch Ramirez,-320,260
2026-07-12T15:05Z,2026-07-19,Jared Cannonier,Christian Leroy Duncan,260,-325
2026-07-12T15:05Z,2026-07-19,Dricus Du Plessis,Kamaru Usman,-275,225
2026-07-12T15:05Z,2026-07-25,Magomed Ankalaev,Khalil Rountree,-310,250
2026-07-12T15:05Z,2026-08-16,Mackenzie Dern,Gillian Robertson,-225,188
2026-07-12T15:05Z,2026-08-16,Islam Makhachev,Ian Garry,-350,285
2026-07-12T15:05Z,2026-08-29,Umar Nurmagomedov,Song Yadong,-400,309
2026-07-12T15:05Z,2026-12-27,Manel Kape,Joshua Van,-190,165
2026-07-12T15:05Z,2026-12-31,Josh Hokit,Alex Pereira,-160,140
2026-07-12T15:05Z,2026-12-31,Justin Gaethje,Arman Tsarukyan,385,-500
2026-07-12T15:05Z,2026-12-31,Ciryl Gane,Josh Hokit,-250,210
2026-07-12T15:05Z,2026-12-31,Justin Gaethje,Ilia Topuria,210,-250
2026-07-12T15:05Z,2026-12-31,Valentina Shevchenko,Natalia Silva,-250,210
2026-07-12T15:05Z,2026-12-31,Conor McGregor,Jorge Masvidal,-145,125
2026-07-12T15:05Z,2027-01-01,Alexandre Pantoja,Joshua Van,-200,170
2026-07-12T15:05Z,2027-01-01,Tom Aspinall,Ciryl Gane,-125,105
2026-07-12T15:05Z,2027-01-01,Khamzat Chimaev,Paulo Henrique Costa,-500,375
2026-07-12T15:05Z,2027-01-01,Sean Strickland,Khamzat Chimaev,175,-205
2026-07-12T15:05Z,2027-01-01,Merab Dvalishvili,Petr Yan,150,-175
2026-07-12T15:05Z,2027-01-01,Sean Strickland,Nassourdine Imavov,-106,-114
2026-07-12T15:05Z,2027-07-02,Islam Makhachev,Kamaru Usman,-330,270
2026-07-12T15:05Z,2027-07-11,Paddy Pimblett,Conor McGregor,-150,130
2026-07-13T16:39Z,2026-07-18,Tommy McMillen,Alberto Montes,-115,-105
2026-07-13T16:39Z,2026-07-18,Alden Coria,Stewart Nicoll,-1000,650
2026-07-13T16:39Z,2026-07-18,Austin Bashi,Jose Delgado,-105,-115
2026-07-13T16:39Z,2026-07-18,Levi Rodrigues,Felipe Franco,-185,154
2026-07-13T16:39Z,2026-07-18,Seok Hyun Ko,Jean-Paul Lebosnoyani,-220,185
2026-07-13T16:39Z,2026-07-18,Tabatha Ricci,Fatima Kline,280,-360
2026-07-13T16:39Z,2026-07-19,Chase Hooper,Mitch Ramirez,-375,291
2026-07-13T16:39Z,2026-07-19,Jared Cannonier,Christian Leroy Duncan,270,-330
2026-07-13T16:39Z,2026-07-19,Dricus Du Plessis,Kamaru Usman,-270,215
2026-07-13T16:39Z,2026-07-25,Magomed Ankalaev,Khalil Rountree,-310,250
2026-07-13T16:39Z,2026-08-16,Mackenzie Dern,Gillian Robertson,-225,188
2026-07-13T16:39Z,2026-08-16,Islam Makhachev,Ian Garry,-350,285
2026-07-13T16:39Z,2026-08-29,Umar Nurmagomedov,Song Yadong,-400,309
2026-07-13T16:39Z,2026-12-27,Manel Kape,Joshua Van,-190,165
2026-07-13T16:39Z,2026-12-31,Josh Hokit,Alex Pereira,-160,140
2026-07-13T16:39Z,2026-12-31,Justin Gaethje,Arman Tsarukyan,385,-500
2026-07-13T16:39Z,2026-12-31,Ciryl Gane,Josh Hokit,-250,210
2026-07-13T16:39Z,2026-12-31,Justin Gaethje,Ilia Topuria,210,-250
2026-07-13T16:39Z,2026-12-31,Valentina Shevchenko,Natalia Silva,-250,210
2026-07-13T16:39Z,2026-12-31,Conor McGregor,Jorge Masvidal,-145,125
2026-07-13T16:39Z,2027-01-01,Alexandre Pantoja,Joshua Van,-180,155
2026-07-13T16:39Z,2027-01-01,Tom Aspinall,Ciryl Gane,-125,105
2026-07-13T16:39Z,2027-01-01,Khamzat Chimaev,Paulo Henrique Costa,-500,375
2026-07-13T16:39Z,2027-01-01,Sean Strickland,Khamzat Chimaev,175,-205
2026-07-13T16:39Z,2027-01-01,Max Holloway,Paddy Pimblett,-180,155
2026-07-13T16:39Z,2027-01-01,Merab Dvalishvili,Petr Yan,150,-175
2026-07-13T16:39Z,2027-01-01,Sean Strickland,Nassourdine Imavov,-106,-114
2026-07-13T16:39Z,2027-07-02,Islam Makhachev,Kamaru Usman,-330,270
2026-07-13T16:39Z,2027-07-11,Paddy Pimblett,Conor McGregor,-150,130
2026-07-15T15:39Z,2026-07-18,Mateusz Pawlik,Adam Niedzwiedz,-135,-105
2026-07-15T15:39Z,2026-07-18,Artur Szpilka,Augusto Sakai,-120,-120
2026-07-15T15:39Z,2026-07-18,Bartosz Kurek,Laid Zerhouni,-140,100
2026-07-15T15:39Z,2026-07-18,Przemyslaw Gorny,Grzegorz Stabach,110,-150
2026-07-15T15:39Z,2026-07-18,Maciej Rozanski,Ibragim Chuzhigaev,150,-200
2026-07-15T15:39Z,2026-07-18,Leonardo Damiani,Andrea Bicchi,-200,150
2026-07-15T15:39Z,2026-07-18,Arbi Chakaev,Dominik Herold,225,-350
2026-07-15T15:39Z,2026-07-18,Jindrich Byrtus,Ernesto Papa,-150,110
2026-07-15T15:39Z,2026-07-18,Toni Estorer,Tomas Melis,-150,110
2026-07-15T15:39Z,2026-07-18,Tommy McMillen,Alberto Montes,-143,120
2026-07-15T15:39Z,2026-07-18,Alden Coria,Stewart Nicoll,-1050,700
2026-07-15T15:39Z,2026-07-18,Anna Melisano,Dione Barbosa,410,-560
2026-07-15T15:39Z,2026-07-18,Austin Bashi,Jose Delgado,-105,-117
2026-07-15T15:39Z,2026-07-18,Levi Rodrigues,Felipe Franco,-162,135
2026-07-15T15:39Z,2026-07-18,Seok Hyun Ko,Jean-Paul Lebosnoyani,-215,178
2026-07-15T15:39Z,2026-07-18,RJ Harris,Alvin Hines,120,-145
2026-07-15T15:39Z,2026-07-18,Andrea Vazquez,Aleksandra Savicheva,285,-400
2026-07-15T15:39Z,2026-07-18,Biaggio Ali Walsh,Gamid Khizriev,320,-450
2026-07-15T15:39Z,2026-07-18,Caolan Loughran,Julio Arce,-105,-113
2026-07-15T15:39Z,2026-07-18,Johnny Eblen,Impa Kasanganay,-480,330
2026-07-15T15:39Z,2026-07-18,Lewis McGrillen,Rafael do Nascimento,-310,230
2026-07-15T15:39Z,2026-07-18,Tabatha Ricci,Fatima Kline,340,-450
2026-07-15T15:39Z,2026-07-19,Arman Tsarukyan,Colby Covington,-1100,625
2026-07-15T15:39Z,2026-07-19,Frankie Edgar,Clay Guida,-450,275
2026-07-15T15:39Z,2026-07-19,Chase Hooper,Mitch Ramirez,-355,280
2026-07-15T15:39Z,2026-07-19,Jared Cannonier,Christian Leroy Duncan,279,-350
2026-07-15T15:39Z,2026-07-19,Dricus Du Plessis,Kamaru Usman,-245,195
2026-07-15T15:39Z,2026-07-25,Magomed Ankalaev,Khalil Rountree,-330,240
2026-07-15T15:39Z,2026-08-16,Mackenzie Dern,Gillian Robertson,-225,188
2026-07-15T15:39Z,2026-08-16,Islam Makhachev,Ian Garry,-350,285
2026-07-15T15:39Z,2026-08-29,Umar Nurmagomedov,Song Yadong,-400,309
2026-07-15T15:39Z,2026-12-27,Manel Kape,Joshua Van,-190,165
2026-07-15T15:39Z,2026-12-31,Josh Hokit,Alex Pereira,-160,140
2026-07-15T15:39Z,2026-12-31,Justin Gaethje,Arman Tsarukyan,385,-500
2026-07-15T15:39Z,2026-12-31,Ciryl Gane,Josh Hokit,-250,210
2026-07-15T15:39Z,2026-12-31,Justin Gaethje,Ilia Topuria,210,-250
2026-07-15T15:39Z,2026-12-31,Valentina Shevchenko,Natalia Silva,-250,210
2026-07-15T15:39Z,2026-12-31,Conor McGregor,Jorge Masvidal,-145,125
2026-07-15T15:39Z,2027-01-01,Alexandre Pantoja,Joshua Van,-180,155
2026-07-15T15:39Z,2027-01-01,Tom Aspinall,Ciryl Gane,-125,105
2026-07-15T15:39Z,2027-01-01,Khamzat Chimaev,Paulo Henrique Costa,-500,375
2026-07-15T15:39Z,2027-01-01,Sean Strickland,Khamzat Chimaev,175,-205
2026-07-15T15:39Z,2027-01-01,Max Holloway,Paddy Pimblett,-180,155
2026-07-15T15:39Z,2027-01-01,Merab Dvalishvili,Petr Yan,150,-175
2026-07-15T15:39Z,2027-01-01,Sean Strickland,Nassourdine Imavov,-106,-114
