date,commence_time,promotion,event_title,event_id,fighter_a,fighter_b,odds_a,odds_b,market_prob_a,market_books,market_spread,best_odds_a,best_book_a,best_odds_b,best_book_b,weightclass,five_rounds,odds_source,capture_promotion,fetched_at,leader_prob_a,leader_books,follower_prob_a,follower_books
2026-09-19,2026-09-19T00:00:00Z,,MMA,bf54271d06de77ce8592d069e4108212,Colby Covington,Belal Muhammad,-1000.0,661.0,0.87370838,1,0.0,-1000.0,BetOnline.ag,661.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.87370838,1,,0
2026-09-19,2026-09-19T00:00:00Z,,MMA,d4320cfa03b5313a0aa4c111149f0829,Bryce Meredith,Movlid Khaybulaev,-450.0,350.0,0.78640777,1,0.0,-450.0,BetOnline.ag,350.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.78640777,1,,0
2026-09-19,2026-09-19T00:00:00Z,,MMA,50354587601a53debab4460d21664d82,Khamzat Chimaev,Gilbert Burns,-5000.0,1550.0,0.94178082,1,0.0,-5000.0,BetOnline.ag,1550.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.94178082,1,,0
2026-09-19,2026-09-19T00:00:00Z,,MMA,c1db29f7cc45cb9e6f97c20bb4d8735d,Luke Rockhold,Joseph Pyfer,1000.0,-2000.0,0.08713693,1,0.0,1000.0,BetOnline.ag,-2000.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.08713693,1,,0
2026-09-19,2026-09-19T01:00:00Z,,MMA,cd5ef2fee88f1182a54b74244bf00fb0,Devon Lozej,Davi Bittencourt,-156.0,136.0,0.58984876,1,0.0,-156.0,BetOnline.ag,136.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.58984876,1,,0
2026-09-19,2026-09-19T01:00:00Z,,MMA,228c52a627a57b54c793d730fa79e2b6,Shuya Kamikubo,Marcos Breno,-180.0,157.0,0.6229464,1,0.0,-180.0,BetOnline.ag,157.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.6229464,1,,0
2026-09-19,2026-09-19T14:00:00Z,,MMA,e2cc9dfdf00033d2dd454ee8e9b344e0,Borys Dzikowski,Adrian Dudek,-140.0,100.0,0.53846154,1,0.0,-140.0,BetOnline.ag,100.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.53846154,1,,0
2026-09-19,2026-09-19T14:00:00Z,,MMA,3f3051390e8e0fbea834ea5cf3b1428f,Lukasz Charzewski,Josef Stummer,-190.0,145.0,0.61614825,1,0.0,-190.0,BetOnline.ag,145.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.61614825,1,,0
2026-09-19,2026-09-19T14:00:00Z,,MMA,7af51c7074d8db6bc8505c5f47eb85e0,Leo Brichta,Kacper Formela,-125.0,-115.0,0.50947867,1,0.0,-125.0,BetOnline.ag,-115.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.50947867,1,,0
2026-09-19,2026-09-19T14:00:00Z,,MMA,76c65f383f1ac957163e0cc1e62fa0bd,Muslim Tulshaev,Kacper Koziorzębski,-250.0,170.0,0.65853659,1,0.0,-250.0,BetOnline.ag,170.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.65853659,1,,0
2026-09-19,2026-09-19T14:00:00Z,,MMA,12ba113b70f3ec4f4a5df33be3496fbc,Tefan Vojcak,Marcin Wojcik,-210.0,160.0,0.63785047,1,0.0,-210.0,BetOnline.ag,160.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.63785047,1,,0
2026-09-19,2026-09-19T14:00:00Z,,MMA,a2ee66a3bcc6a7cff82116cdebf95887,Michal Michalski,Radoslaw Paczuski,-130.0,-110.0,0.51901141,1,0.0,-130.0,BetOnline.ag,-110.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.51901141,1,,0
2026-09-19,2026-09-19T21:45:00Z,,MMA,72bc9fad0569290a723199450ccce949,Giga Chikadze,Joanderson Brito,310.0,-415.0,0.23153252,7,0.00955446,325.0,Bovada,-400.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.22977941,2,0.23173415,6
2026-09-19,2026-09-19T22:15:00Z,,MMA,bc257ce1122b16fe0efc528b5f527954,Casey O'Neill,Eduarda Moura,-230.0,185.0,0.66319015,7,0.02601859,-220.0,Caesars,205.0,Bovada,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.66723607,2,0.6631433,6
2026-09-19,2026-09-19T22:45:00Z,,MMA,90384c76e624bee791627fb9a4594e68,Edmen Shahbazyan,Brunno Ferreira,-177.0,145.0,0.61057481,7,0.01113022,-170.0,BetOnline.ag,153.0,Bovada,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.61297774,2,0.61157948,6
2026-09-19,2026-09-19T23:15:00Z,,MMA,2c47e541ab2e5fa5cef2e7d8b563d484,Ozzy Diaz,Ryan Gandra,400.0,-550.0,0.18956044,7,0.0217215,425.0,Bovada,-475.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.19204467,2,0.18902106,6
2026-09-19,2026-09-19T23:45:00Z,,MMA,afc7707dd4b3e8b31f226e1933142afc,Joo Sang Yoo,Michael Aswell,-245.0,200.0,0.68055556,7,0.0317985,-230.0,Bovada,215.0,FanDuel,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.67480675,2,0.68472696,6
2026-09-20,2026-09-20T00:15:00Z,,MMA,35495c892bf6e3997d2725df4ca003df,Tai Tuivasa,Robelis Despaigne,482.0,-750.0,0.16245487,7,0.01734395,525.0,BetMGM,-650.0,Caesars,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.16243934,2,0.16122744,6
2026-09-20,2026-09-20T00:45:00Z,,MMA,aa7a874d175da620f7fa265b29b064c3,Marlon Vera,Charles Jourdain,180.0,-220.0,0.33790919,7,0.01576916,190.0,BetMGM,-212.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.34707642,2,0.33763536,6
2026-09-20,2026-09-20T01:15:00Z,,MMA,f00933726f831e1aea9060837d70c555,Alonzo Menifield,Iwo Baraniewski,201.0,-250.0,0.31465517,7,0.0230343,220.0,BetMGM,-240.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.31626506,2,0.31463096,6
2026-09-20,2026-09-20T01:45:00Z,,MMA,430372943e1a714088d294f9501e2c06,Gable Steveson,Sean Sharaf,-2500.0,1050.0,0.91706539,7,0.02012882,-2000.0,Caesars,1200.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.92349831,2,0.91534333,6
2026-09-20,2026-09-20T02:15:00Z,,MMA,05b660335ff8c2960dd384c9739654f7,Patricio Pitbull,Dooho Choi,228.0,-278.0,0.29365701,5,0.01539449,230.0,Caesars,-275.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.29365701,2,0.29318894,4
