event_uid,event_name,event_date,snapshot_kind,requested_snapshot,actual_snapshot,event_start_utc,status,matched_fights,quote_rows,response_sha256,response_file,requests_remaining,requests_used,requests_last
df625674544f1be8ca77,UFC 250: Nunes vs. Spencer,2020-06-06,discovery_72h,2020-06-03T00:00:00+00:00,NaT,2020-06-07T00:00:00+00:00,invalid_snapshot_time,0,0,,,4233102,766898,0
df625674544f1be8ca77,UFC 250: Nunes vs. Spencer,2020-06-06,discovery_48h,2020-06-04T00:00:00+00:00,NaT,2020-06-07T00:00:00+00:00,invalid_snapshot_time,0,0,,,4233102,766898,0
df625674544f1be8ca77,UFC 250: Nunes vs. Spencer,2020-06-06,discovery_24h,2020-06-05T00:00:00+00:00,NaT,2020-06-07T00:00:00+00:00,invalid_snapshot_time,0,0,,,4233102,766898,0
b4ea3fd9b512088f2371,UFC Fight Night: Eye vs. Calvillo,2020-06-13,discovery_72h,2020-06-10T00:00:00+00:00,2020-06-09 23:55:00+00:00,2020-06-14T00:30:00+00:00,ok,5,15,0f01d2bb7254bea656b8dec4eabe51767ad91ddf643f2eeb742036437f8b262d,raw/odds_totals/responses/b4ea3fd9b512088f2371__discovery_72h__2020-06-09T23-55-00Z.json.gz,4233062,766938,40
b4ea3fd9b512088f2371,UFC Fight Night: Eye vs. Calvillo,2020-06-13,entry,2020-06-13T00:30:00+00:00,2020-06-13 00:25:00+00:00,2020-06-14T00:30:00+00:00,ok,5,20,b395a9dd60fa96536ba9f636f3524fd2f000ead77982352552f8833b35c91056,raw/odds_totals/responses/b4ea3fd9b512088f2371__entry__2020-06-13T00-25-00Z.json.gz,4233022,766978,40
b4ea3fd9b512088f2371,UFC Fight Night: Eye vs. Calvillo,2020-06-13,close,2020-06-14T00:15:00+00:00,2020-06-14 00:15:00+00:00,2020-06-14T00:30:00+00:00,ok,5,24,26f3067ac1b912ff3c14fe26efa7ec3f36b657d0d05031e3a516fe385c568b7a,raw/odds_totals/responses/b4ea3fd9b512088f2371__close__2020-06-14T00-15-00Z.json.gz,4232982,767018,40
e1ccc071cf33aca9a175,UFC Fight Night: Blaydes vs. Volkov,2020-06-20,discovery_72h,2020-06-17T00:00:00+00:00,2020-06-16 23:55:00+00:00,2020-06-20T23:00:00+00:00,ok,7,35,0c4acb0231ba89d15be6899fd6fb1132c5a664c44bb2fdf7020d51a290648eac,raw/odds_totals/responses/e1ccc071cf33aca9a175__discovery_72h__2020-06-16T23-55-00Z.json.gz,4232942,767058,40
e1ccc071cf33aca9a175,UFC Fight Night: Blaydes vs. Volkov,2020-06-20,entry,2020-06-19T23:00:00+00:00,2020-06-19 22:55:00+00:00,2020-06-20T23:00:00+00:00,ok,7,35,3ffc639ec250aee42202beba463a95264c8635eb140f1d2768e604a473bb2082,raw/odds_totals/responses/e1ccc071cf33aca9a175__entry__2020-06-19T22-55-00Z.json.gz,4232902,767098,40
e1ccc071cf33aca9a175,UFC Fight Night: Blaydes vs. Volkov,2020-06-20,close,2020-06-20T22:45:00+00:00,2020-06-20 22:45:00+00:00,2020-06-20T23:00:00+00:00,ok,6,27,a4ab7d2449eb285cb574c9127e487fdfec63bf85ab71902faf9aec07bd2d372c,raw/odds_totals/responses/e1ccc071cf33aca9a175__close__2020-06-20T22-45-00Z.json.gz,4232862,767138,40
7ee1f62c0394add138ee,UFC Fight Night: Poirier vs. Hooker,2020-06-27,discovery_72h,2020-06-24T00:00:00+00:00,2020-06-23 23:55:00+00:00,2020-06-27T23:35:00+00:00,ok,2,10,cac4a01c06a8c6ed22f0bc05b0fd2fb1b2d2ed411d2db02fae607d5422e8f3bd,raw/odds_totals/responses/7ee1f62c0394add138ee__discovery_72h__2020-06-23T23-55-00Z.json.gz,4232822,767178,40
7ee1f62c0394add138ee,UFC Fight Night: Poirier vs. Hooker,2020-06-27,entry,2020-06-26T23:35:00+00:00,2020-06-26 23:35:00+00:00,2020-06-27T23:35:00+00:00,ok,2,8,17635d577fc092e3e510bccec22323601fd549f1b59fda969b33f3858a345318,raw/odds_totals/responses/7ee1f62c0394add138ee__entry__2020-06-26T23-35-00Z.json.gz,4232782,767218,40
7ee1f62c0394add138ee,UFC Fight Night: Poirier vs. Hooker,2020-06-27,close,2020-06-27T23:20:00+00:00,2020-06-27 23:15:00+00:00,2020-06-27T23:35:00+00:00,ok,2,8,63e16e04e93a95d7021264e99e3f387b26d9fb0a63cc727f2e619da98718b695,raw/odds_totals/responses/7ee1f62c0394add138ee__close__2020-06-27T23-15-00Z.json.gz,4232742,767258,40
fb1954a323fdf358fe12,UFC 251: Usman vs. Masvidal,2020-07-11,discovery_72h,2020-07-08T00:00:00+00:00,2020-07-07 23:55:00+00:00,2020-07-12T00:30:00+00:00,ok,5,20,2dedca53fee29d2651e26dec2f9f52e3c4c48327c1978c2ac32ede608401f05c,raw/odds_totals/responses/fb1954a323fdf358fe12__discovery_72h__2020-07-07T23-55-00Z.json.gz,4232702,767298,40
fb1954a323fdf358fe12,UFC 251: Usman vs. Masvidal,2020-07-11,entry,2020-07-11T00:30:00+00:00,2020-07-11 00:25:00+00:00,2020-07-12T00:30:00+00:00,ok,5,25,54a5bcc97b3b74c42c92b62b55c2fb700754573623430de8933ce4d969a17ac2,raw/odds_totals/responses/fb1954a323fdf358fe12__entry__2020-07-11T00-25-00Z.json.gz,4232662,767338,40
fb1954a323fdf358fe12,UFC 251: Usman vs. Masvidal,2020-07-11,close,2020-07-12T00:15:00+00:00,2020-07-12 00:15:00+00:00,2020-07-12T00:30:00+00:00,ok,5,25,5403424f82c8813d84f124bfdee8fdc9289f124183f4fbd2ec41bb71ab0ab99b,raw/odds_totals/responses/fb1954a323fdf358fe12__close__2020-07-12T00-15-00Z.json.gz,4232592,767408,40
686f7b7d3da5af0ab12d,UFC Fight Night: Kattar vs. Ige,2020-07-15,discovery_72h,2020-07-12T00:00:00+00:00,2020-07-11 23:55:00+00:00,2020-07-15T23:00:00+00:00,no_quotes,5,0,c595355d3cdb1640535ae44df1ee01f2d383caff2803711b108b9e42108be0d1,raw/odds_totals/responses/686f7b7d3da5af0ab12d__discovery_72h__2020-07-11T23-55-00Z.json.gz,4232552,767448,40
686f7b7d3da5af0ab12d,UFC Fight Night: Kattar vs. Ige,2020-07-15,entry,2020-07-14T23:00:00+00:00,2020-07-14 22:55:00+00:00,2020-07-15T23:00:00+00:00,ok,5,25,3430be03e66ed0cd162e8a2db4b7ab035100251eb8f6732fc168890f91318101,raw/odds_totals/responses/686f7b7d3da5af0ab12d__entry__2020-07-14T22-55-00Z.json.gz,4232482,767518,40
686f7b7d3da5af0ab12d,UFC Fight Night: Kattar vs. Ige,2020-07-15,close,2020-07-15T22:45:00+00:00,2020-07-15 22:45:00+00:00,2020-07-15T23:00:00+00:00,ok,5,25,235f42341a4f2e92f83d822742e23474461d14e92dc0e3e046a42702f195f2c8,raw/odds_totals/responses/686f7b7d3da5af0ab12d__close__2020-07-15T22-45-00Z.json.gz,4232442,767558,40
4fcdd53004a1e2ba3715,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,discovery_72h,2020-07-15T00:00:00+00:00,2020-07-14 23:55:00+00:00,2020-07-18T23:00:00+00:00,no_quotes,6,0,57bf9bfa51cd32ef52d8f3916c1481c6740f07f3fe35a031e020cb2203b7502f,raw/odds_totals/responses/4fcdd53004a1e2ba3715__discovery_72h__2020-07-14T23-55-00Z.json.gz,4232402,767598,40
4fcdd53004a1e2ba3715,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,entry,2020-07-17T23:00:00+00:00,2020-07-17 22:55:00+00:00,2020-07-18T23:00:00+00:00,ok,6,30,9fe654c502e4620830ab5dbb27b480cb37d5c778cc899bc40de7e0af8c9594d1,raw/odds_totals/responses/4fcdd53004a1e2ba3715__entry__2020-07-17T22-55-00Z.json.gz,4232362,767638,40
